id,type,name,fullname,mpc_name,icq_name,component,current_mag,perihelion_date,perihelion_mag,peak_mag,peak_mag_date,is_observed,is_active
1,N,P/2010 H2,P/2010 H2 (Vales),K10H020,P2010H2,,13.9,2025-03-10 03:58,12.6,12.5,2025-04-09,True,True
2,C,C/2014 UN271,C/2014 UN271 (Bernardinelli-Bernstein),K14UR1N,2014UNR1,,17.4,2031-01-16 06:02,16.0,15.8,2031-04-04,True,True
3,C,C/2020 PV6,C/2020 PV6 (PANSTARRS),K20P06V,2020PV6,,26.6,2021-09-25 06:28,15.6,14.9,2021-08-05,True,True
4,A,A/2021 E4,A/2021 E4,K21E040,A2021E4,,24.2,2022-04-24 21:45,20.1,19.8,2022-02-21,False,True
6,C,C/2021 G3,C/2021 G3 (PANSTARRS),K21G030,2021G3,,26.9,2021-10-18 00:15,21.5,20.9,2022-01-31,True,True
7,C,C/2021 J1,C/2021 J1 (Maury-Attard),K21J010,2021J1,,32.7,2021-02-19 10:52,19.7,19.2,2021-05-11,True,True
8,C,C/2021 J2,C/2021 J2 (PANSTARRS),K21J020,2021J2,,28.3,2021-09-20 08:00,22.5,21.7,2021-05-18,False,True
9,N,P/2021 J3,P/2021 J3 (ATLAS),K21J030,P2021J3,,22.6,2019-06-29 20:39,17.0,16.8,2019-05-17,True,True
10,C,C/2021 K1,C/2021 K1 (ATLAS),K21K010,2021K1,,27.1,2021-05-01 18:43,17.3,16.8,2021-08-17,True,True
11,C,C/2021 K2,C/2021 K2 (MASTER),K21K020,2021K2,,24.3,2021-09-08 13:58,18.9,18.7,2021-07-16,True,True
12,C,C/2021 K3,C/2021 K3 (Catalina),K21K030,2021K3,,25.8,2022-02-02 12:36,21.1,20.5,2022-06-22,True,True
13,N,P/2021 L2,P/2021 L2 (Leonard),K21L020,P2021L2,,28.5,2029-09-12 03:12,20.4,20.0,2021-08-07,True,True
14,C,C/2021 L3,C/2021 L3 (Borisov),K21L030,2021L3,,22.1,2022-02-14 21:33,19.9,19.9,2021-12-10,True,True
15,N,P/2021 L4,P/2021 L4 (PANSTARRS),K21L040,P2021L4,,19.9,2025-04-21 05:35,20.4,19.3,2024-12-25,False,True
16,P,421P,421P/McNaught,421P,0421,,27.8,2021-01-22 19:00,18.2,18.2,2021-01-22,False,True
17,P,96P,96P/Machholz,96P,0096,,26.0,2028-05-12 00:45,1.8,1.6,2023-01-31,True,True
18,P,78P,78P/Gehrels,78P,0078,,14.4,2026-06-25 02:16,13.7,13.7,2026-08-16,True,True
19,C,C/2007 E2,C/2007 E2 (Lovejoy),K07E020,2007E2,,33.4,2007-03-23 22:38,9.7,8.7,2007-04-22,True,True
20,C,C/2007 E1,C/2007 E1 (Garradd),K07E010,2007E1,,35.9,2007-05-12 23:26,14.6,14.3,2007-05-05,True,True
21,C,C/2006 L1,C/2006 L1 (Garradd),K06L010,2006L1,,35.9,2006-10-07 18:23,15.2,14.4,2006-11-09,True,True
23,P,4P,4P/Faye,4P,0004,,23.0,2029-03-09 07:43,13.0,11.6,2021-11-02,True,True
24,P,177P,177P/Barnard,177P,0177,,37.6,2006-08-27 17:40,14.1,13.9,2006-08-18,True,True
25,C,C/2005 E2,C/2005 E2 (McNaught),K05E020,2005E2,,29.6,2006-02-28 04:08,9.4,9.3,2006-02-21,True,True
26,P,62P,62P/Tsuchinshan,62P,0062,,29.5,2023-12-25 08:07,9.2,9.2,2023-12-29,True,True
27,C,C/2004 Q1,C/2004 Q1 (Tucker),K04Q010,2004Q1,,33.5,2004-12-16 02:07,13.6,13.1,2004-11-01,True,True
28,C,C/2006 VZ13,C/2006 VZ13 (LINEAR),K06V13Z,2006VZ13,,34.3,2007-08-10 09:31,10.7,10.6,2007-08-09,True,True
29,C,C/2006 P1,C/2006 P1 (McNaught),K06P010,2006P1,,30.0,2007-01-13 12:19,-1.9,-1.9,2007-01-13,True,True
30,N,P/2021 N1,P/2021 N1 (ZTF),K21N010,P2021N1,,21.4,2026-07-27 19:58,16.3,15.4,2026-07-02,False,True
32,C,C/2006 M4,C/2006 M4 (SWAN),K06M040,2006M4,,32.5,2006-09-20 11:06,8.3,8.1,2006-10-12,True,True
33,P,17P,17P/Holmes,17P,0017,,22.2,2028-01-31 19:01,17.1,17.1,2028-01-31,True,True
34,C,C/2006 A1,C/2006 A1 (Pojmanski),K06A010,2006A1,,30.0,2006-02-14 01:55,6.7,6.7,2006-02-14,True,True
35,P,9P,9P/Tempel 1,9P,0009,,24.6,2028-02-09 06:34,13.4,13.3,2022-03-23,True,True
36,C,C/2004 Q2,C/2004 Q2 (Machholz),K04Q020,2004Q2,,29.8,2005-01-27 14:58,4.5,4.4,2005-01-01,True,True
37,C,C/2003 K4,C/2003 K4 (LINEAR),K03K040,2003K4,,28.0,2004-10-02 07:24,5.1,5.1,2004-10-02,True,True
38,C,C/2001 Q4,C/2001 Q4 (NEAT),K01Q040,2001Q4,,28.1,2004-05-06 21:50,0.6,0.5,2004-05-06,True,True
39,C,C/2004 F4,C/2004 F4 (Bradfield),K04F040,2004F4,,34.6,2004-04-07 00:53,1.8,1.8,2004-04-07,True,True
40,C,C/2002 T7,C/2002 T7 (LINEAR),K02T070,2002T7,,28.6,2004-04-29 20:46,1.9,1.9,2004-04-29,True,True
41,P,2P,2P/Encke,2P,0002,,22.7,2027-02-10 05:32,3.6,3.6,2027-02-10,True,True
42,C,C/2002 Y1,C/2002 Y1 (Juels-Holvercem),K02Y010,2002Y1,,31.1,2003-04-11 12:27,6.2,6.1,2003-04-04,True,True
43,C,C/2002 X5,C/2002 X5 (Kudo-Fujikawa),K02X050,2002X5,,33.4,2003-01-31 01:01,1.8,1.8,2003-01-31,True,True
44,C,C/2002 V1,C/2002 V1 (NEAT),K02V010,2002V1,,32.9,2003-02-10 23:50,-1.9,-1.9,2003-02-10,True,True
45,C,C/2002 O6,C/2002 O6 (SWAN),K02O060,2002O6,,34.8,2002-09-17 04:50,6.6,6.1,2002-08-13,True,True
46,C,C/2002 C1,C/2002 C1 (Ikeya-Zhang),,2002C1,,,,,,,True,True
47,C,C/2002 F1,C/2002 F1 (Utsunomiya),K02F010,2002F1,,33.4,2002-04-22 13:37,5.2,5.2,2002-04-22,True,True
48,C,C/2002 O4,C/2002 O4 (Hoenig),K02O040,2002O4,,34.4,2002-10-06 06:06,8.7,8.6,2002-09-23,True,True
50,P,73P-C,73P-C/Schwassmann-Wachmann,73P-C,0073,C,19.3,2022-08-25 18:28,9.0,8.9,2022-09-03,True,True
51,C,C/2001 RX14,C/2001 RX14 (LINEAR),K01R14X,2001RX14,,31.1,2003-01-20 12:53,10.1,10.0,2003-02-13,True,True
52,P,8P,8P/Tuttle,8P,0008,,32.6,2021-08-29 02:57,9.6,9.5,2021-08-30,True,True
53,P,10P,10P/Tempel 2,10P,0010,,12.3,2026-08-02 03:12,6.9,6.9,2026-08-03,True,True
54,P,14P,14P/Wolf,14P,0014,,22.2,2026-09-19 01:14,19.9,19.8,2026-09-28,True,True
55,P,22P,22P/Kopff,22P,0022,,24.6,2028-06-20 11:07,5.0,5.0,2028-07-06,True,True
56,P,24P,24P/Schaumasse,24P,0024,,12.8,2026-01-08 08:09,8.8,8.8,2026-01-07,True,True
57,P,29P,29P/Schwassmann-Wachmann,29P,0029,,15.7,2019-04-23 23:37,15.8,15.0,2019-10-08,True,True
58,P,30P,30P/Reinmuth,30P,0030,,22.2,2024-08-17 07:33,15.6,15.6,2024-08-25,True,True
59,P,31P,31P/Schwassmann-Wachmann,31P,0031,,21.2,2028-03-19 05:30,17.9,17.6,2028-01-27,True,True
60,P,36P,36P/Whipple,36P,0036,,21.8,2028-11-05 09:39,17.4,17.4,2028-11-03,True,True
61,P,43P,43P/Wolf-Harrington,43P,0043,,17.3,2025-08-04 11:48,17.2,17.1,2025-08-27,True,True
62,P,47P,47P/Ashbrook-Jackson,47P,0047,,17.1,2025-10-27 23:51,15.2,14.9,2025-09-14,True,True
63,P,49P,49P/Arend-Rigaux,49P,0049,,19.3,2025-04-10 14:10,14.5,14.5,2025-04-10,True,True
64,P,54P,54P/de Vico-Swift-NEAT,54P,0054,,22.2,2024-09-04 13:49,15.5,15.4,2024-09-27,True,True
65,P,59P,59P/Kearns-Kwee,59P,0059,,21.0,2028-03-15 16:05,14.6,14.0,2027-12-02,True,True
66,P,61P,61P/Shajn-Schaldach,61P,0061,,27.2,2022-10-22 20:33,14.5,14.5,2022-10-16,True,True
67,P,65P,65P/Gunn,65P,0065,,15.7,2025-06-16 05:48,13.4,13.4,2025-06-28,True,True
68,P,67P,67P/Churyumov-Gerasimenko,67P,0067,,21.4,2028-04-09 10:35,13.4,9.9,2021-11-06,True,True
69,P,68P,68P/Klemola,68P,0068,,23.3,2030-11-26 13:11,14.2,13.6,2019-10-04,True,True
70,P,74P,74P/Smirnova-Chernykh,74P,0074,,18.7,2026-02-21 23:28,18.4,18.3,2027-02-11,True,True
71,P,77P,77P/Longmore,77P,0077,,24.5,2023-04-03 01:07,15.2,15.1,2023-04-22,True,True
72,P,81P,81P/Wild,81P,0081,,21.8,2029-05-14 17:06,10.7,10.7,2029-05-14,True,True
73,P,82P,82P/Gehrels,82P,0082,,19.5,2026-11-15 06:01,18.7,18.3,2027-01-14,True,True
74,P,88P,88P/Howell,88P,0088,,10.6,2026-03-18 18:16,10.3,10.3,2026-03-23,True,True
75,P,89P,89P/Russell,89P,0089,,24.9,2024-03-26 08:38,18.8,18.2,2024-07-30,True,True
76,P,94P,94P/Russell,94P,0094,,22.8,2023-05-21 13:37,16.0,15.2,2023-02-13,True,True
77,P,97P,97P/Metcalf-Brewington,97P,0097,,21.8,2022-02-15 14:04,13.9,13.2,2021-11-07,True,True
78,P,99P,99P/Kowal,99P,0099,,21.0,2022-04-09 02:13,17.4,17.4,2022-04-14,True,True
79,P,100P,100P/Hartley,100P,0100,,26.3,2028-12-16 03:32,17.3,16.8,2022-07-04,True,True
80,P,103P,103P/Hartley,103P,0103,,26.9,2023-10-12 05:31,7.1,7.0,2023-10-05,True,True
81,P,104P,104P/Kowal,104P,0104,,25.7,2027-10-12 23:18,16.2,15.4,2022-01-15,True,True
82,P,110P,110P/Hartley,110P,0110,,23.9,2028-08-22 13:06,15.2,13.9,2022-01-01,True,True
83,P,115P,115P/Maury,115P,0115,,26.0,2029-05-21 22:39,16.4,15.3,2020-07-20,True,True
84,P,116P,116P/Wild,116P,0116,,23.1,2029-01-17 08:58,12.7,12.7,2022-04-10,True,True
85,P,117P,117P/Helin-Roman-Alu,117P,0117,,20.4,2022-07-08 09:55,13.9,13.9,2022-07-03,True,True
86,P,118P,118P/Shoemaker-Levy,118P,0118,,22.3,2029-01-10 17:45,14.4,14.4,2029-01-10,True,True
87,P,119P,119P/Parker-Hartley,119P,0119,,21.3,2022-08-12 07:13,13.1,12.5,2022-12-10,True,True
88,P,123P,123P/West-Hartley,123P,0123,,18.2,2026-09-21 23:11,17.4,17.3,2026-10-09,True,True
89,P,126P,126P/IRAS,126P,0126,,27.0,2023-07-04 15:17,11.8,11.7,2023-08-21,True,True
90,P,127P,127P/Holt-Olmstead,127P,0127,,23.8,2029-01-10 10:59,18.1,17.0,2022-10-24,True,True
91,P,128P,128P/Shoemaker-Holt,128P,0128,,16.4,2026-07-17 00:35,16.2,15.2,2026-12-19,True,True
92,P,130P,130P/McNaught-Hughes,130P,0130,,23.1,2024-04-16 09:24,15.9,15.7,2024-05-31,True,True
93,P,131P,131P/Mueller,131P,0131,,17.5,2026-02-15 17:36,17.1,16.1,2025-09-30,True,True
94,P,136P,136P/Mueller,136P,0136,,19.8,2025-01-04 08:32,18.3,17.4,2024-09-06,True,True
95,P,137P,137P/Shoemaker-Levy,137P,0137,,21.9,2028-07-29 16:19,15.2,14.6,2028-10-18,True,True
96,P,139P,139P/Vaisala-Oterma,139P,0139,,18.9,2027-07-23 06:10,17.7,16.8,2027-11-27,True,True
97,P,141P-A,141P-A/Machholz,141P-A,0141,A,11.0,2026-04-23 08:32,10.4,8.8,2020-12-16,True,True
