group_id,group_size,comet_id,name,e,q,i,om,w,a
1,2,246,P/2010 A3 (Hill),0.734000,1.620000,14.800000,63.600000,42.300000,6.100000
1,2,2586,496P/Hill,0.734000,1.620000,14.800000,63.600000,42.300000,6.100000
2,2,284,C/2010 J3 (McMillan),0.724000,2.480000,13.200000,107.000000,157.000000,8.990000
2,2,287,P/2010 J3 (McMillan),0.724000,2.480000,13.200000,107.000000,157.000000,8.990000
3,2,320,240P/NEAT,0.451000,2.120000,23.500000,74.900000,352.000000,3.860000
3,2,2664,240P-B/NEAT,0.451000,2.120000,23.500000,74.900000,352.000000,3.860000
4,2,343,C/2005 A1 (LINEAR),1.000000,0.934000,74.900000,356.000000,272.000000,-2160.000000
4,2,622,C/2005 A1-A (LINEAR),1.000000,0.934000,74.900000,356.000000,272.000000,-2160.000000
5,2,351,C/2001 A2 (LINEAR),1.000000,0.796000,36.400000,296.000000,295.000000,-133000.000000
5,2,1498,C/2001 A2-A (LINEAR),1.000000,0.796000,36.400000,296.000000,295.000000,-133000.000000
6,2,437,C/1996 J1 (Evans-Drinkwater),1.000000,1.320000,22.300000,278.000000,14.800000,3880.000000
6,2,1221,C/1996 J1-A (Evans-Drinkwater),1.000000,1.320000,22.300000,278.000000,14.800000,3880.000000
7,2,596,C/1994 G1 (Takamizawa-Levy),0.999000,1.330000,132.000000,306.000000,61.000000,1360.000000
7,2,1468,C/1994 G1-A (Takamizawa-Levy),0.999000,1.330000,132.000000,306.000000,61.000000,1360.000000
8,2,599,P/1991 L3 (Levy),0.929000,0.981000,19.100000,329.000000,41.800000,13.800000
8,2,1317,C/1991 L3 (Levy),0.929000,0.981000,19.100000,329.000000,41.800000,13.800000
9,2,618,P/2005 T4 (SWAN),0.930000,0.658000,160.000000,25.900000,41.900000,9.360000
9,2,1553,C/2005 T4 (SWAN),0.930000,0.658000,160.000000,25.900000,41.900000,9.360000
10,2,671,C/2011 Q3 (McNaught),0.533000,2.320000,6.090000,31.200000,310.000000,4.970000
10,2,678,P/2011 Q3 (McNaught),0.533000,2.320000,6.090000,31.200000,310.000000,4.970000
11,2,693,P/2005 J1 (McNaught),0.569000,1.540000,31.700000,269.000000,339.000000,3.570000
11,2,2660,508P/McNaught,0.569000,1.540000,31.700000,269.000000,339.000000,3.570000
12,2,712,P/2003 T12 (SOHO),0.770000,0.594000,11.000000,175.000000,220.000000,2.580000
12,2,715,P/2012 A3 (SOHO),0.770000,0.594000,11.000000,175.000000,220.000000,2.580000
13,2,777,P/2012 SB6 (Lemmon),0.404000,2.280000,10.900000,8.140000,14.600000,3.830000
13,2,2177,P/2020 M2 (Lemmon),0.404000,2.280000,10.900000,8.140000,14.600000,3.830000
14,2,779,P/2012 T2 (PANSTARRS),0.157000,4.800000,12.600000,73.700000,309.000000,5.700000
14,2,2669,512P/PANSTARRS,0.157000,4.800000,12.600000,73.700000,309.000000,5.700000
15,2,842,C/2013 G1 (Kowalski),0.510000,3.380000,5.460000,221.000000,51.300000,6.910000
15,2,884,P/2013 G1 (Kowalski),0.510000,3.380000,5.460000,221.000000,51.300000,6.910000
16,2,865,P/2013 CU129 (PANSTARRS),0.716000,0.826000,11.800000,45.600000,213.000000,2.900000
16,2,1727,364P/PANSTARRS,0.716000,0.826000,11.800000,45.600000,213.000000,2.900000
17,2,878,P/2013 O2 (PANSTARRS),0.447000,2.100000,13.300000,207.000000,214.000000,3.790000
17,2,2173,399P/PANSTARRS,0.447000,2.100000,13.300000,207.000000,214.000000,3.790000
18,2,897,P/2013 TW5 (Spacewatch),0.975000,5.800000,31.500000,320.000000,190.000000,235.000000
18,2,898,C/2013 TW5 (Spacewatch),0.975000,5.800000,31.500000,320.000000,190.000000,235.000000
19,2,902,P/2011 CR42 (Catalina),0.280000,2.530000,8.460000,58.700000,173.000000,3.510000
19,2,1741,367P/Catalina,0.280000,2.530000,8.460000,58.700000,173.000000,3.510000
20,2,908,C/2013 V3 (Nevski),0.891000,1.370000,32.300000,101.000000,340.000000,12.600000
20,2,911,P/2013 V3 (Nevski),0.891000,1.370000,32.300000,101.000000,340.000000,12.600000
21,2,968,P/2003 L1 (Scotti),0.252000,5.010000,9.050000,226.000000,355.000000,6.690000
21,2,1833,377P/Scotti,0.252000,5.010000,9.050000,226.000000,355.000000,6.690000
22,2,1120,C/2015 B1 (PANSTARRS),0.367000,5.990000,18.100000,353.000000,189.000000,9.470000
22,2,1592,P/2015 B1 (PANSTARRS),0.367000,5.990000,18.100000,353.000000,189.000000,9.470000
23,2,1129,C/2015 D5 (Kowalski),0.492000,4.540000,20.500000,74.100000,39.700000,8.940000
23,2,1130,P/2015 D5 (Kowalski),0.492000,4.540000,20.500000,74.100000,39.700000,8.940000
24,2,1164,C/1986 P1 (Wilson),0.999000,1.200000,147.000000,112.000000,238.000000,1730.000000
24,2,1986,C/1986 P1-A (Wilson),0.999000,1.200000,147.000000,112.000000,238.000000,1730.000000
25,2,1224,C/1975 V1 (West),1.000000,0.199000,41.900000,119.000000,358.000000,6410.000000
25,2,1442,C/1975 V1-A (West),1.000000,0.199000,41.900000,119.000000,358.000000,6410.000000
26,2,1329,C/2015 Q1 (Scotti),0.478000,1.810000,22.400000,203.000000,200.000000,3.470000
26,2,1330,P/2015 Q1 (Scotti),0.478000,1.810000,22.400000,203.000000,200.000000,3.470000
27,2,1335,C/2015 R1 (PANSTARRS),0.633000,2.160000,22.700000,48.300000,301.000000,5.890000
27,2,1336,P/2015 R1 (PANSTARRS),0.633000,2.160000,22.700000,48.300000,301.000000,5.890000
28,2,1412,C/1947 X1 (Southern comet),1.000000,0.094000,135.000000,336.000000,195.000000,189.000000
28,2,1413,C/1947 X1-A (Southern comet),1.000000,0.094000,135.000000,336.000000,195.000000,189.000000
29,2,1536,C/2003 S4 (LINEAR),0.895000,3.890000,40.800000,224.000000,156.000000,37.000000
29,2,2023,C/2003 S4-A (LINEAR),0.895000,3.890000,40.800000,224.000000,156.000000,37.000000
30,4,1577,332P/Ikeya-Murakami,0.490000,1.570000,9.390000,3.760000,152.000000,3.090000
30,4,1578,332P-A/Ikeya-Murakami,0.490000,1.570000,9.390000,3.760000,152.000000,3.090000
30,4,1580,332P-C/Ikeya-Murakami,0.490000,1.570000,9.390000,3.760000,152.000000,3.090000
30,4,1585,332P-H/Ikeya-Murakami,0.490000,1.570000,9.390000,3.760000,152.000000,3.090000
31,2,1579,332P-B/Ikeya-Murakami,0.490000,1.570000,9.380000,3.800000,152.000000,3.080000
31,2,1586,332P-I/Ikeya-Murakami,0.490000,1.570000,9.380000,3.800000,152.000000,3.080000
32,2,1627,C/2016 S1 (PANSTARRS),0.712000,2.380000,94.700000,228.000000,273.000000,8.260000
32,2,1631,P/2016 S1 (PANSTARRS),0.712000,2.380000,94.700000,228.000000,273.000000,8.260000
33,2,1724,P/2018 A4 (PANSTARRS),0.805000,2.390000,3.150000,97.500000,356.000000,12.200000
33,2,1730,C/2018 A4 (PANSTARRS),0.805000,2.390000,3.150000,97.500000,356.000000,12.200000
34,2,1788,P/2019 A8 (PANSTARRS),0.376000,2.130000,2.300000,112.000000,46.700000,3.420000
34,2,2633,500P/PANSTARRS,0.376000,2.130000,2.300000,112.000000,46.700000,3.420000
35,2,1814,P/2019 M2,0.647000,1.070000,12.300000,308.000000,333.000000,3.030000
35,2,2570,490P/ATLAS,0.647000,1.070000,12.300000,308.000000,333.000000,3.030000
36,2,1824,C/2019 T5 (ATLAS),0.810000,1.520000,33.500000,248.000000,190.000000,8.010000
36,2,1850,P/2019 T5 (ATLAS),0.810000,1.520000,33.500000,248.000000,190.000000,8.010000
37,2,1858,C/2020 A1 (Iwamoto),0.934000,1.670000,149.000000,119.000000,302.000000,25.500000
37,2,1903,A/2020 A1,0.934000,1.670000,149.000000,119.000000,302.000000,25.500000
38,2,1867,A/2019 C1,0.991000,6.570000,36.000000,212.000000,319.000000,710.000000
38,2,1869,C/2019 C1,0.991000,6.570000,36.000000,212.000000,319.000000,710.000000
39,2,1874,C/2019 S4,0.986000,3.440000,92.100000,63.100000,71.400000,252.000000
39,2,1907,A/2019 S4,0.986000,3.440000,92.100000,63.100000,71.400000,252.000000
40,2,1891,A/2019 G2,0.994000,2.310000,159.000000,208.000000,82.800000,405.000000
40,2,2508,C/2019 G2 (PANSTARRS),0.994000,2.310000,159.000000,208.000000,82.800000,405.000000
41,2,1892,A/2019 G4,0.999000,5.850000,138.000000,130.000000,288.000000,6890.000000
41,2,2351,C/2019 G4 (PANSTARRS),0.999000,5.850000,138.000000,130.000000,288.000000,6890.000000
42,2,1893,A/2019 K6,0.995000,3.920000,132.000000,43.000000,187.000000,869.000000
42,2,1929,C/2019 K6 (PANSTARRS),0.995000,3.920000,132.000000,43.000000,187.000000,869.000000
43,2,1902,A/2019 Y5,0.993000,4.940000,82.800000,51.800000,304.000000,680.000000
43,2,2192,C/2019 Y5 (PANSTARRS),0.993000,4.940000,82.800000,51.800000,304.000000,680.000000
44,2,2160,79P-A/du Toit-Hartley,0.602000,1.190000,2.940000,309.000000,252.000000,3.000000
44,2,2161,79P-B/du Toit-Hartley,0.602000,1.190000,2.940000,309.000000,252.000000,3.000000
45,2,2167,P/2013 PA104 (PANSTARRS),0.409000,2.100000,10.900000,176.000000,239.000000,3.560000
45,2,2174,400P/PANSTARRS,0.409000,2.100000,10.900000,176.000000,239.000000,3.560000
46,2,2244,A/2021 F1,0.996000,1.000000,107.000000,204.000000,147.000000,241.000000
46,2,2309,C/2021 F1 (Lemmon-PANSTARRS),0.996000,1.000000,107.000000,204.000000,147.000000,241.000000
47,2,2301,A/2021 X2,1.000000,3.000000,137.000000,229.000000,193.000000,-1770.000000
47,2,2510,C/2021 X2 (Bok),1.000000,3.000000,137.000000,229.000000,193.000000,-1770.000000
48,2,2317,A/2010 OE101 (WISE),0.570000,1.350000,18.400000,194.000000,175.000000,3.140000
48,2,2422,P/2010 OE101 (WISE),0.570000,1.350000,18.400000,194.000000,175.000000,3.140000
49,2,2331,A/2022 J2,0.980000,1.830000,149.000000,253.000000,133.000000,90.200000
49,2,2338,C/2022 J2 (Bok),0.980000,1.830000,149.000000,253.000000,133.000000,90.200000
50,2,2414,P/2010 VH95 (Catalina),0.578000,1.370000,7.170000,257.000000,205.000000,3.240000
50,2,2417,459P/Catalina,0.578000,1.370000,7.170000,257.000000,205.000000,3.240000
51,2,2511,P/2005 XR132 (Spacewatch),0.433000,2.130000,14.500000,265.000000,241.000000,3.760000
51,2,2564,484P/Spacewatch,0.433000,2.130000,14.500000,265.000000,241.000000,3.760000
52,3,2520,483P/PANSTARRS,0.221000,2.490000,14.200000,199.000000,49.900000,3.190000
52,3,2528,483P-A/PANSTARRS,0.221000,2.490000,14.200000,199.000000,49.900000,3.190000
52,3,2529,483P-B/PANSTARRS,0.221000,2.490000,14.200000,199.000000,49.900000,3.190000
53,2,2598,P/2015 CD60 (LINEAR),0.572000,1.960000,14.500000,279.000000,179.000000,4.590000
53,2,2616,498P/LINEAR,0.572000,1.960000,14.500000,279.000000,179.000000,4.590000
