comet_id_1,name_1,comet_id_2,name_2,score,de,dq,di,dom,dw,da_rel
246,P/2010 A3 (Hill),2586,496P/Hill,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
284,C/2010 J3 (McMillan),287,P/2010 J3 (McMillan),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
320,240P/NEAT,2664,240P-B/NEAT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
343,C/2005 A1 (LINEAR),622,C/2005 A1-A (LINEAR),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
351,C/2001 A2 (LINEAR),1498,C/2001 A2-A (LINEAR),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
437,C/1996 J1 (Evans-Drinkwater),1221,C/1996 J1-A (Evans-Drinkwater),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
596,C/1994 G1 (Takamizawa-Levy),1468,C/1994 G1-A (Takamizawa-Levy),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
599,P/1991 L3 (Levy),1317,C/1991 L3 (Levy),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
618,P/2005 T4 (SWAN),1553,C/2005 T4 (SWAN),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
671,C/2011 Q3 (McNaught),678,P/2011 Q3 (McNaught),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
693,P/2005 J1 (McNaught),2660,508P/McNaught,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
712,P/2003 T12 (SOHO),715,P/2012 A3 (SOHO),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
777,P/2012 SB6 (Lemmon),2177,P/2020 M2 (Lemmon),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
779,P/2012 T2 (PANSTARRS),2669,512P/PANSTARRS,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
842,C/2013 G1 (Kowalski),884,P/2013 G1 (Kowalski),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
865,P/2013 CU129 (PANSTARRS),1727,364P/PANSTARRS,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
878,P/2013 O2 (PANSTARRS),2173,399P/PANSTARRS,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
897,P/2013 TW5 (Spacewatch),898,C/2013 TW5 (Spacewatch),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
902,P/2011 CR42 (Catalina),1741,367P/Catalina,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
908,C/2013 V3 (Nevski),911,P/2013 V3 (Nevski),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
968,P/2003 L1 (Scotti),1833,377P/Scotti,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1120,C/2015 B1 (PANSTARRS),1592,P/2015 B1 (PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1129,C/2015 D5 (Kowalski),1130,P/2015 D5 (Kowalski),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1164,C/1986 P1 (Wilson),1986,C/1986 P1-A (Wilson),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1224,C/1975 V1 (West),1442,C/1975 V1-A (West),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1329,C/2015 Q1 (Scotti),1330,P/2015 Q1 (Scotti),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1335,C/2015 R1 (PANSTARRS),1336,P/2015 R1 (PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1412,C/1947 X1 (Southern comet),1413,C/1947 X1-A (Southern comet),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1536,C/2003 S4 (LINEAR),2023,C/2003 S4-A (LINEAR),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1577,332P/Ikeya-Murakami,1578,332P-A/Ikeya-Murakami,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1577,332P/Ikeya-Murakami,1580,332P-C/Ikeya-Murakami,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1577,332P/Ikeya-Murakami,1585,332P-H/Ikeya-Murakami,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1578,332P-A/Ikeya-Murakami,1580,332P-C/Ikeya-Murakami,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1578,332P-A/Ikeya-Murakami,1585,332P-H/Ikeya-Murakami,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1579,332P-B/Ikeya-Murakami,1586,332P-I/Ikeya-Murakami,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1580,332P-C/Ikeya-Murakami,1585,332P-H/Ikeya-Murakami,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1627,C/2016 S1 (PANSTARRS),1631,P/2016 S1 (PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1724,P/2018 A4 (PANSTARRS),1730,C/2018 A4 (PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1788,P/2019 A8 (PANSTARRS),2633,500P/PANSTARRS,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1814,P/2019 M2,2570,490P/ATLAS,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1824,C/2019 T5 (ATLAS),1850,P/2019 T5 (ATLAS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1858,C/2020 A1 (Iwamoto),1903,A/2020 A1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1867,A/2019 C1,1869,C/2019 C1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1874,C/2019 S4,1907,A/2019 S4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1891,A/2019 G2,2508,C/2019 G2 (PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1892,A/2019 G4,2351,C/2019 G4 (PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1893,A/2019 K6,1929,C/2019 K6 (PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1902,A/2019 Y5,2192,C/2019 Y5 (PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2160,79P-A/du Toit-Hartley,2161,79P-B/du Toit-Hartley,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2167,P/2013 PA104 (PANSTARRS),2174,400P/PANSTARRS,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2244,A/2021 F1,2309,C/2021 F1 (Lemmon-PANSTARRS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2301,A/2021 X2,2510,C/2021 X2 (Bok),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2317,A/2010 OE101 (WISE),2422,P/2010 OE101 (WISE),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2331,A/2022 J2,2338,C/2022 J2 (Bok),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
